population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,196,South Africa,3,Both,24,15-49 years,298,HIV/AIDS,2,Percent,2023,0.3840625449510256,0.4697261919270101,0.30036298119039156
1,All Population,1,Deaths,196,South Africa,3,Both,24,15-49 years,298,HIV/AIDS,3,Rate,2023,198.32309921247963,240.67788674457898,154.73868689395914
1,All Population,1,Deaths,196,South Africa,3,Both,25,50-69 years,298,HIV/AIDS,1,Number,2023,36670.96173287512,48421.42571741397,24913.926558147534
1,All Population,1,Deaths,196,South Africa,3,Both,25,50-69 years,298,HIV/AIDS,2,Percent,2023,0.2048000636619506,0.2713735352755946,0.13727145993911086
1,All Population,1,Deaths,196,South Africa,3,Both,25,50-69 years,298,HIV/AIDS,3,Rate,2023,391.12720266460514,516.4559612001,265.728356759834
1,All Population,1,Deaths,196,South Africa,3,Both,26,70+ years,298,HIV/AIDS,1,Number,2023,4087.1333958066707,6170.21788164194,2469.806424794627
1,All Population,1,Deaths,196,South Africa,3,Both,26,70+ years,298,HIV/AIDS,2,Percent,2023,0.02500208150118288,0.03731068682534857,0.01520983357859418
1,All Population,1,Deaths,196,South Africa,3,Both,26,70+ years,298,HIV/AIDS,3,Rate,2023,160.4581583391949,242.23867976896008,96.96296939646133
1,All Population,1,Deaths,196,South Africa,3,Both,27,Age-standardized,298,HIV/AIDS,3,Rate,2023,173.4888140420599,218.1617324657323,129.1618674382281
1,All Population,1,Deaths,196,South Africa,3,Both,28,<1 year,298,HIV/AIDS,1,Number,2023,489.2219095665908,580.0550062269107,412.06955107763525
1,All Population,1,Deaths,196,South Africa,3,Both,28,<1 year,298,HIV/AIDS,2,Percent,2023,0.017104838253251646,0.02015371710016504,0.014394348778034763
1,All Population,1,Deaths,196,South Africa,3,Both,28,<1 year,298,HIV/AIDS,3,Rate,2023,46.769971098370846,55.45368133804985,39.394149398364966
1,All Population,1,Deaths,196,South Africa,3,Both,30,80-84 years,298,HIV/AIDS,1,Number,2023,417.4273065373728,631.5357005471978,250.21231434296095
1,All Population,1,Deaths,196,South Africa,3,Both,30,80-84 years,298,HIV/AIDS,2,Percent,2023,0.013206184370586708,0.01987353945686638,0.007936318964387352
1,All Population,1,Deaths,196,South Africa,3,Both,30,80-84 years,298,HIV/AIDS,3,Rate,2023,102.2445599790875,154.6882266739105,61.28695363405679
1,All Population,1,Deaths,196,South Africa,3,Both,31,85-89 years,298,HIV/AIDS,1,Number,2023,200.67681489377506,313.64041146846995,116.38294474176561
1,All Population,1,Deaths,196,South Africa,3,Both,31,85-89 years,298,HIV/AIDS,2,Percent,2023,0.0080853063235217,0.012530843111312388,0.004832397881012432
1,All Population,1,Deaths,196,South Africa,3,Both,31,85-89 years,298,HIV/AIDS,3,Rate,2023,103.46921740581953,161.7133894548796,60.00719225182787
1,All Population,1,Deaths,196,South Africa,3,Both,32,90-94 years,298,HIV/AIDS,1,Number,2023,78.28026885542668,120.8980750444454,42.0859811448216
1,All Population,1,Deaths,196,South Africa,3,Both,32,90-94 years,298,HIV/AIDS,2,Percent,2023,0.006747321689205456,0.010489443866402152,0.0038887802546464533
1,All Population,1,Deaths,196,South Africa,3,Both,32,90-94 years,298,HIV/AIDS,3,Rate,2023,94.62648242860894,146.14359073005116,50.874229400594956
1,All Population,1,Deaths,196,South Africa,3,Both,34,2-4 years,298,HIV/AIDS,1,Number,2023,493.6624065606529,559.3155131434454,424.1703151506026
1,All Population,1,Deaths,196,South Africa,3,Both,34,2-4 years,298,HIV/AIDS,2,Percent,2023,0.11946063873579753,0.1334756782895451,0.10284337578273654
1,All Population,1,Deaths,196,South Africa,3,Both,34,2-4 years,298,HIV/AIDS,3,Rate,2023,15.748810315014468,17.843274686663538,13.53187470990056
1,All Population,1,Deaths,196,South Africa,3,Both,37,20+ years,298,HIV/AIDS,1,Number,2023,110089.56076484226,138375.72746585807,82045.52324775765
1,All Population,1,Deaths,196,South Africa,3,Both,37,20+ years,298,HIV/AIDS,2,Percent,2023,0.2112372310220749,0.264808096360375,0.1571461902748903
1,All Population,1,Deaths,196,South Africa,3,Both,37,20+ years,298,HIV/AIDS,3,Rate,2023,257.79718321360053,324.03501765285836,192.12634369336712
1,All Population,1,Deaths,196,South Africa,3,Both,39,0-14 years,298,HIV/AIDS,1,Number,2023,2494.0270514396702,2915.6546734597623,2078.5470589429347
1,All Population,1,Deaths,196,South Africa,3,Both,39,0-14 years,298,HIV/AIDS,2,Percent,2023,0.05815403646842351,0.06785356708523776,0.04899786166239175
1,All Population,1,Deaths,196,South Africa,3,Both,39,0-14 years,298,HIV/AIDS,3,Rate,2023,15.497592270370122,18.117536978757002,12.91584821250435
1,All Population,1,Deaths,196,South Africa,3,Both,41,50-74 years,298,HIV/AIDS,1,Number,2023,38830.429115077895,51785.97199005977,26244.710854226712
1,All Population,1,Deaths,196,South Africa,3,Both,41,50-74 years,298,HIV/AIDS,2,Percent,2023,0.17473294742858608,0.2332085139703187,0.1165964659231974
1,All Population,1,Deaths,196,South Africa,3,Both,41,50-74 years,298,HIV/AIDS,3,Rate,2023,369.84640729601875,493.2434723318261,249.97179380099942
1,All Population,1,Deaths,196,South Africa,3,Both,157,25+ years,298,HIV/AIDS,1,Number,2023,107330.42270046142,135064.85265034254,79858.41077304128
1,All Population,1,Deaths,196,South Africa,3,Both,157,25+ years,298,HIV/AIDS,2,Percent,2023,0.21167243251813328,0.26589541656132293,0.1569486946400456
1,All Population,1,Deaths,196,South Africa,3,Both,157,25+ years,298,HIV/AIDS,3,Rate,2023,288.3106345326367,362.8107706176948,214.51540489129647
1,All Population,1,Deaths,196,South Africa,3,Both,158,<20 years,298,HIV/AIDS,1,Number,2023,4657.094775522751,5417.213246385628,4030.520228793988
1,All Population,1,Deaths,196,South Africa,3,Both,158,<20 years,298,HIV/AIDS,2,Percent,2023,0.09242181392842716,0.1082162861850579,0.08027496198860701
1,All Population,1,Deaths,196,South Africa,3,Both,158,<20 years,298,HIV/AIDS,3,Rate,2023,21.801392513375966,25.359757103044114,18.868190959497117
1,All Population,1,Deaths,196,South Africa,3,Both,159,10-24 years,298,HIV/AIDS,1,Number,2023,5684.605447069498,7096.430499563796,4528.688399473703
1,All Population,1,Deaths,196,South Africa,3,Both,159,10-24 years,298,HIV/AIDS,2,Percent,2023,0.22909854473610733,0.283397159171001,0.18710147526294407
1,All Population,1,Deaths,196,South Africa,3,Both,159,10-24 years,298,HIV/AIDS,3,Rate,2023,34.7566537987293,43.38879459210904,27.68917848889095
1,All Population,1,Deaths,196,South Africa,3,Both,160,85+ years,298,HIV/AIDS,1,Number,2023,318.5028460656608,491.0404084018706,185.6559448401694
